y1,x1,K,midpoint_offset,dt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
36.00,2030,-0.50,54,50,35.850000,35.900000,35.950000,36.000000,35.886607,35.796176,35.634351,35.346358,34.838824,33.959638,32.481060,30.114025,26.608191,21.971097,16.676520,11.557267,7.344374,4.313606
36.00,2030,-1.00,53,50,35.850000,35.900000,35.950000,36.000000,35.870737,35.767721,35.583533,35.256248,34.681035,33.689307,32.034767,29.420231,25.623275,20.734744,15.331134,10.278391,6.241242,3.401897
36.00,2030,-1.50,52,50,35.850000,35.900000,35.950000,36.000000,35.852679,35.735364,35.525813,35.154102,34.502791,33.385762,31.538618,28.660903,24.569199,19.448175,13.971543,9.016951,5.168685,2.518817
36.00,2030,-2.00,51,50,35.850000,35.900000,35.950000,36.000000,35.832137,35.698582,35.460283,35.038393,34.301667,33.045530,30.988575,27.833254,23.447228,18.117595,12.605433,7.777774,4.127864,1.663554
36.00,2030,-2.50,50,50,35.850000,35.900000,35.950000,36.000000,35.808776,35.656785,35.385923,34.907420,34.075000,32.664917,30.380626,26.935083,22.259732,16.750000,11.240268,6.564917,3.119374,0.835083
36.00,2030,-3.00,49,50,35.850000,35.900000,35.950000,36.000000,35.782216,35.609306,35.301588,34.759292,33.819887,32.240037,29.710876,25.964917,21.010214,15.352994,9.883108,5.381660,2.143305,0.032219
36.00,2030,-3.50,48,50,35.850000,35.900000,35.950000,36.000000,35.752026,35.555394,35.205995,34.591915,33.533179,31.766846,28.975652,24.922145,19.703308,13.934589,8.540444,4.230515,1.199322,-0.746336
36.00,2030,-4.00,47,50,35.850000,35.900000,35.950000,36.000000,35.717721,35.494201,35.097709,34.402978,33.211480,31.241192,28.171630,23.807145,18.344720,12.502980,7.218081,3.113264,0.286738,-1.501953
36.00,2030,-4.50,46,50,35.850000,35.900000,35.950000,36.000000,35.678752,35.424776,34.975129,34.189935,32.851157,30.658876,27.295968,22.621388,16.941121,11.066317,5.921048,2.031013,-0.595423,-2.236037
36.00,2030,-5.00,45,50,35.850000,35.900000,35.950000,36.000000,35.634499,35.346048,34.836473,33.950000,32.448353,30.015732,26.346452,21.367506,15.500000,9.632494,4.653548,0.984268,-1.448353,-2.950000
36.00,2030,-5.50,44,50,35.850000,35.900000,35.950000,36.000000,35.584262,35.256818,34.679759,33.680136,31.999013,29.307727,25.321642,20.049330,14.029468,8.208948,3.418946,-0.026996,-2.273408,-3.645242
36.00,2030,-6.00,43,50,35.850000,35.900000,35.950000,36.000000,35.527254,35.155741,34.502796,33.377051,31.498925,28.531073,24.221015,18.671871,12.538044,6.802497,2.219788,-1.003252,-3.072054,-4.323126
36.00,2030,-6.50,42,50,35.850000,35.900000,35.950000,36.000000,35.462589,35.041316,34.303164,33.037197,30.943767,27.682357,23.045092,17.241265,11.034416,5.419212,1.057843,-1.945341,-3.845825,-4.984972
36.00,2030,-7.00,41,50,35.850000,35.900000,35.950000,36.000000,35.389268,34.911866,34.078202,32.656784,30.329177,26.758682,21.795548,15.764647,9.527200,4.064323,-0.065838,-2.854399,-4.596286,-5.632040
36.00,2030,-7.50,40,50,35.850000,35.900000,35.950000,36.000000,35.306173,34.765526,33.825000,32.231789,29.650837,25.757821,20.475281,14.250000,8.024719,2.742179,-1.150837,-3.731789,-5.325000,-6.265526
36.00,2030,-8.00,39,50,35.850000,35.900000,35.950000,36.000000,35.212048,34.600227,33.540385,31.757990,28.904578,24.678367,19.088446,12.705942,6.534788,1.456232,-2.197297,-4.579035,-6.033509,-6.886560
36.00,2030,-8.50,38,50,35.850000,35.900000,35.950000,36.000000,35.105488,34.413677,33.220923,31.231004,28.086494,23.519884,17.640435,11.141499,5.064551,0.209062,-3.205827,-5.397771,-6.723313,-7.496201
36.00,2030,-9.00,37,50,35.850000,35.900000,35.950000,36.000000,34.984922,34.203350,32.862915,30.646341,27.193084,22.283038,16.137810,9.565852,3.620342,-0.997578,-4.177420,-6.189697,-7.395853,-8.095437
